name;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
Premonition - Intro;0.847;0.637;1;-5.193;1;0.367;0.0258;0.000648;0.382;0.511;165.979;audio_features;7ccTcabbJlCJiIqtrSSwBk;spotify:track:7ccTcabbJlCJiIqtrSSwBk;https://api.spotify.com/v1/tracks/7ccTcabbJlCJiIqtrSSwBk;https://api.spotify.com/v1/audio-analysis/7ccTcabbJlCJiIqtrSSwBk;173893;4
Sneakernight - Single Version;0.803;0.901;1;-4.192;0;0.0625;0.323;0.0;0.142;0.837;104.002;audio_features;5qaxeIJLARExwa34d9TuYp;spotify:track:5qaxeIJLARExwa34d9TuYp;https://api.spotify.com/v1/tracks/5qaxeIJLARExwa34d9TuYp;https://api.spotify.com/v1/audio-analysis/5qaxeIJLARExwa34d9TuYp;179080;4
Just Dance;0.822;0.739;1;-4.541;0;0.0311;0.0264;4.26e-05;0.181;0.745;118.992;audio_features;1dzQoRqT5ucxXVaAhTcT0J;spotify:track:1dzQoRqT5ucxXVaAhTcT0J;https://api.spotify.com/v1/tracks/1dzQoRqT5ucxXVaAhTcT0J;https://api.spotify.com/v1/audio-analysis/1dzQoRqT5ucxXVaAhTcT0J;241933;4
Qual Bumbum Mais Bate, Qual Bumbum Mais Pula;0.871;0.478;1;-1.919;1;0.0925;0.271;0.000784;0.103;0.661;86.58;audio_features;4eZg3l8x5aMvgwsRHcZuIC;spotify:track:4eZg3l8x5aMvgwsRHcZuIC;https://api.spotify.com/v1/tracks/4eZg3l8x5aMvgwsRHcZuIC;https://api.spotify.com/v1/audio-analysis/4eZg3l8x5aMvgwsRHcZuIC;162508;3
Cara Bacana;0.599;0.512;4;-2.578;1;0.0641;0.0711;0.0;0.0816;0.725;87.838;audio_features;4BjPsq3MXBNo4Qxg40igEr;spotify:track:4BjPsq3MXBNo4Qxg40igEr;https://api.spotify.com/v1/tracks/4BjPsq3MXBNo4Qxg40igEr;https://api.spotify.com/v1/audio-analysis/4BjPsq3MXBNo4Qxg40igEr;232727;5
Castle on the Hill;0.461;0.834;2;-4.868;1;0.0989;0.0232;1.14e-05;0.14;0.471;135.007;audio_features;6PCUP3dWmTjcTtXY02oFdT;spotify:track:6PCUP3dWmTjcTtXY02oFdT;https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT;https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT;261154;4
Yeah! (feat. Lil Jon & Ludacris);0.894;0.791;2;-4.699;1;0.112;0.0183;0.0;0.0388;0.583;105.018;audio_features;5rb9QrpfcKFHM1EUbSIurX;spotify:track:5rb9QrpfcKFHM1EUbSIurX;https://api.spotify.com/v1/tracks/5rb9QrpfcKFHM1EUbSIurX;https://api.spotify.com/v1/audio-analysis/5rb9QrpfcKFHM1EUbSIurX;250373;4
Human (Remix);0.828;0.849;10;-5.25;0;0.0515;0.0402;0.00163;0.457;0.643;121.972;audio_features;0bVp6yZEUrJzOm2agoFYZm;spotify:track:0bVp6yZEUrJzOm2agoFYZm;https://api.spotify.com/v1/tracks/0bVp6yZEUrJzOm2agoFYZm;https://api.spotify.com/v1/audio-analysis/0bVp6yZEUrJzOm2agoFYZm;211024;4
Champagne Problems;0.73;0.778;7;-5.035;0;0.127;0.000611;0.0;0.0904;0.642;107.925;audio_features;0HqkqqlMMKeyhC3I7mNV7b;spotify:track:0HqkqqlMMKeyhC3I7mNV7b;https://api.spotify.com/v1/tracks/0HqkqqlMMKeyhC3I7mNV7b;https://api.spotify.com/v1/audio-analysis/0HqkqqlMMKeyhC3I7mNV7b;192680;4
07/nov;0.747;0.705;9;-5.137;0;0.126;0.0128;0.0;0.126;0.56;136.024;audio_features;02M6vucOvmRfMxTXDUwRXu;spotify:track:02M6vucOvmRfMxTXDUwRXu;https://api.spotify.com/v1/tracks/02M6vucOvmRfMxTXDUwRXu;https://api.spotify.com/v1/audio-analysis/02M6vucOvmRfMxTXDUwRXu;213507;4
